PeriodoMuestra;uwindM;vwindM
1071972;-0.59296178;0.10941382
1081972;-0.3972689;0.26891879
1091972;0.1981371;0.42326655
1101972;0.55100884;0.66712865
1111972;10.404.492;0.59971662
1121972;13.443.978;0.76732577
1011973;13.693.798;0.90067634
1021973;11.949.217;0.77690343
1031973;0.99319149;0.70580768
1041973;0.25663678;0.51204414
1051973;-0.51426826;0.26560344
1061973;-0.40580444;0.27149739
1071973;-0.35542393;0.24055417
1081973;-0.28547414;0.40853168
1091973;0.48022631;0.53193622
1101973;0.95426109;0.57319385
1111973;10.133.853;0.71059652
1121973;1.266.537;0.72201604
1011974;16.714.547;0.79090156
1021974;12.927.681;0.71759558
1031974;10.891.643;0.71059652
1041974;0.29931449;0.41147866
1051974;-0.38394513;0.22655604
1061974;-0.94916447;0.050105971
1071974;-0.34480655;0.1827198
1081974;-0.38998246;0.3521708
1091974;-0.031489758;0.38274566
1101974;0.52019762;0.47778557
1111974;12.534.214;0.70396582
1121974;12.886.045;0.66307656
1011975;17.006.004;0.7864811
1021975;13.439.814;0.78500761
1031975;10.444.047;0.63655379
1041975;0.27079329;0.50725531
1051975;-0.18408857;0.30244062
1061975;-0.62647939;0.15030309
1071975;-0.7545125;0.076997109
1081975;0.017849831;0.31422851
1091975;0.32950116;0.48294278
1101975;0.60930034;0.56951014
1111975;0.91886983;0.67854817
1121975;14.763.864;0.77837692
1011976;1.509.904;0.79569039
1021976;13.079.656;0.77027274
1031976;10.044.334;0.63581705
1041976;0.068230339;0.42510841
1051976;-0.34543111;0.23466022
1061976;-0.88379472;0.10978219
1071976;-0.78927922;0.18382492
1081976;-0.12121703;0.2700239
1091976;0.21583274;0.36874753
1101976;0.50208562;0.48736324
1111976;0.68403837;0.67339097
1121976;11.382.957;0.84763081
1011977;13.556.397;0.70101885
1021977;12.028.327;0.68886258
1031977;0.83164077;0.64023751
1041977;0.32283927;0.55182829
1051977;-0.62106661;0.28512715
1061977;-0.43078651;0.1996649
1071977;-0.28963782;0.17572074
1081977;-0.50948003;0.25749927
1091977;0.4052801;0.52272692
1101977;0.8493364;0.55772224
1111977;1.156.824;0.80453131
1121977;1.532.596;0.84284197
1011978;14.557.762;0.81079363
1021978;1.323.163;0.76474716
1031978;10.160.917;0.59750639
1041978;0.27703881;0.47557534
1051978;-0.35563212;0.40816331
1061978;-0.76741991;0.10094127
1071978;-0.66665889;-0.067036245
1081978;-0.10331321;0.32896338
1091978;0.14067834;0.41147866
1101978;0.72588334;0.66970725
1111978;0.87077934;0.64944681
1121978;1.219.071;0.74117137
1011979;14.964.615;0.79108529
1021979;10.968.227;0.5910902
1031979;0.84188832;0.59409764
1041979;0.03778002;0.36252438
1051979;-0.57507259;0.33620924
1061979;-0.60559446;0.20162607
1071979;-0.75644711;0.14373276
1081979;-0.17433593;0.26854172
1091979;0.13088267;0.47304798
1101979;0.68796153;0.6181572
1111979;0.80785316;0.62229244
1121979;1.257.337;0.73131232
1011980;12.920.309;0.73920686
1021980;0.87306893;0.66815597
1031980;10.059.159;0.63432222
1041980;0.014504357;0.34974274
1051980;-0.44332356;0.21403178
1061980;-0.68881593;0.15538661
1071980;-1.089.333;0.14711613
1081980;-0.33243478;0.37305044
1091980;0.061714429;0.4659053
1101980;0.75164023;0.5580083
1111980;0.99186265;0.6512391
1121980;13.240.898;0.80424286
1011981;13.785.461;0.79296494
1021981;13.491.221;0.57906042
1031981;0.7652543;0.62755547
1041981;0.24462601;0.47417577
1051981;-0.21847186;0.22756529
1061981;-0.91410679;0.20538538
1071981;-0.50458686;0.10426004
1081981;-0.13041959;0.332074
1091981;0.17545777;0.58733089
1101981;0.94333508;0.60725521
1111981;13.565.879;0.69447112
1121981;14.600.109;0.87303816
1011982;14.909.719;0.74710141
1021982;11.648.931;0.67153935
1031982;0.63394442;0.59071427
1041982;0.4334663;0.53131723
1051982;-0.59176081;0.14937172
1061982;-0.81309919;0.097493292
1071982;-0.69254882;0.14335683
1081982;-0.29093383;0.41853804
1091982;0.44378664;0.32004422
1101982;0.60891211;0.65687806
1111982;0.99252139;0.67755424
1121982;13.054.254;0.70687683
1011983;11.932.191;0.7249215
1021983;11.756.526;0.7850704
1031983;0.89239212;0.65048724
1041983;0.050735342;0.5580083
1051983;-0.25931406;0.32380353
1061983;-0.82671326;0.11666575
1071983;-0.76435205;0.080576414
1081983;-0.25140912;0.22418191
1091983;-0.12295381;0.43432713
1101983;0.6078142;0.5677825
1111983;11.255.879;0.62342023
1121983;15.491.611;0.76552201
1011984;14.270.736;0.75913119
1021984;1.359.662;0.79334087
1031984;0.8541849;0.60199219
1041984;0.11485321;0.5260542
1051984;-0.18641293;0.33357772
1061984;-0.40445759;0.28320302
1071984;-0.91191097;-0.098366562
1081984;-0.44749561;0.41327501
1091984;-0.011406288;0.34147226
1101984;0.89832083;0.64221676
1111984;129.774;0.72454557
1121984;13.080.603;0.8501064
1011985;13.954.539;0.74597361
1021985;13.337.514;0.68394506
1031985;0.80960981;0.55011376
1041985;0.41348436;0.63018698
1051985;-0.35241672;0.28621046
1061985;-0.61525605;0.10463597
1071985;-0.61767145;0.06629105
1081985;-0.094408183;0.33395365
1091985;0.1822648;0.38395243
1101985;0.86165068;0.61928499
1111985;14.420.052;0.74672547
1121985;17.017.704;0.8403322
1011986;1.544.989;0.8083781
1021986;1.088.259;0.5997366
1031986;0.85550239;0.63996118
1041986;0.36517638;0.48733335
1051986;-0.66905358;0.27117324
1061986;-0.63897088;0.11441017
1071986;-0.68266764;0.12080099
1081986;-0.11922092;0.34447971
1091986;0.46750147;0.41665839
1101986;0.62142826;0.5775567
1111986;11.725.784;0.65800585
1121986;14.250.974;0.91439053
1011987;14.213.645;0.8538657
1021987;11.958.541;0.70236566
1031987;0.94267634;0.46891275
1041987;0.089162146;0.4756795
1051987;-0.60647278;0.20952062
1061987;-0.81244045;0.25876753
1071987;-0.90356687;0.030953572
1081987;-0.46572089;0.36515589
1091987;-0.11878175;0.48582962
1101987;0.4082144;0.50688174
1111987;10.915.528;0.70274159
1121987;10.821.107;0.8820605
1011988;14.826.278;0.82717463
1021988;11.060.451;0.59522543
1031988;0.95343584;0.59710509
1041988;0.26834084;0.48282218
1051988;-0.47274751;0.40462861
1061988;-0.73031688;0.16704046
1071988;-0.42421994;0.11779355
1081988;-0.15369525;0.34974274
1091988;0.27910034;0.4106435
1101988;0.62494157;0.75123664
1111988;10.570.784;0.7519885
1121988;1.391.721;0.69484705
1011989;12.375.746;0.71815475
1021989;11.387.628;0.64484828
1031989;0.78369916;0.65236689
1041989;0.25011556;0.56665471
1051989;-0.41258211;0.26478242
1061989;-0.62645472;0.18771664
1071989;-0.63589673;0.060652091
1081989;-0.10231312;0.34598343
1091989;0.17897107;0.38808766
1101989;0.82234555;0.59860881
1111989;0.978029;0.69635077
1121989;15.820.983;0.83206173
1011990;14.090.679;0.80649844
1021990;1.184.875;0.76251456
1031990;0.58607561;0.711388
1041990;0.33948532;0.54221922
1051990;-0.35856501;0.42192142
1061990;-0.83593569;0.31290154
1071990;-0.69606213;0.21628737
1081990;-0.34319429;0.36214845
1091990;0.049417852;0.45349959
1101990;10.296.307;0.62116465
1111990;11.161.459;0.75274036
1121990;13.636.145;0.80950589
1011991;14.597.913;0.81627264
1021991;11.251.488;0.69559891
1031991;10.006.459;0.65838178
1041991;0.3216992;0.50876139
1051991;-0.35636919;0.32793876
1061991;-1.000.622;0.058020577
1071991;-0.57441385;0.22079854
1081991;-0.30125417;0.23282832
1091991;0.15898914;0.47229612
1101991;0.55533416;0.55274527
1111991;10.742.058;0.70048601
1121991;10.493.931;0.77266469
1011992;13.565.879;0.74259024
1021992;1.127.125;0.71702696
1031992;0.81356228;0.60650335
1041992;0.29139692;0.47680729
1051992;-0.27336729;0.2448581
1061992;-0.52237298;0.15952184
1071992;-0.55267526;0.20463352
1081992;-0.59198039;0.25951939
1091992;-0.002623018;0.56740657
1101992;0.71738548;0.80499472
1111992;0.75229898;0.61364603
1121992;13.535.138;0.6967267
1011993;13.871.098;0.81589671
1021993;11.932.191;0.59071427
1031993;0.86165068;0.64184083
1041993;0.084550929;0.49372417
1051993;-0.29620379;0.27493255
1061993;-0.61876936;0.19373153
1071993;-0.56563058;0.27079731
1081993;-0.00152511;0.36365217
1091993;0.13000435;0.47229612
1101993;0.99537595;0.62417209
1111993;11.763.113;0.81025775
1121993;14.514.472;0.83356545
1011994;14.556.193;0.77492027
1021994;1.102.971;0.76025898
1031994;0.95365543;0.56063982
1041994;0.19587887;0.54898597
1051994;-0.4308074;0.2768122
1061994;-0.60888818;0.24711368
1071994;-0.73207353;0.045990797
1081994;-0.041488985;0.38959138
1091994;0.096188761;0.46177006
1101994;0.73341495;0.66928377
1111994;1.194.317;0.75837932
1121994;14.817.495;0.81476892
1011995;13.708.607;0.77980737
1021995;11.892.666;0.63996118
1031995;0.8590157;0.6929674
1041995;0.2881032;0.58996241
1051995;-0.60098324;0.33884075
1061995;-0.55179693;0.23094866
1071995;-0.40753173;0.24072286
1081995;-0.11351179;0.34823902
1091995;0.27207373;0.49372417
1101995;0.63943397;0.73281604
1111995;12.272.543;0.77867958
1121995;14.336.611;0.74597361
1011996;12.476.754;0.69409519
1021996;11.440.328;0.66251702
1031996;0.94970295;0.58996241
1041996;0.20949293;0.50988918
1051996;-0.16730932;0.44598098
1061996;-0.74524844;0.10538783
1071996;-0.82188246;0.14636427
1081996;-0.084746586;0.20876876
1091996;0.27888076;0.56026389
1101996;0.9347714;0.72604929
1111996;12.123.227;0.90386447
1121996;13.530.746;0.70838055
1011997;16.134.985;0.76514608
1021997;11.686.259;0.64973537
1031997;0.90929992;0.51364849
