agno;mes;dia;valor
1985;6;1;19,7
1985;7;1;67,6
1985;8;1;7,7
1985;9;1;6,5
1985;10;1;19,7
1985;11;1;0
1985;12;1;0
1986;1;1;0
1986;2;1;0
1986;3;1;0
1986;4;1;26,1
1986;5;1;90
1986;6;1;108,3
1986;7;1;0,6
1986;8;1;53,9
1986;9;1;3,1
1986;10;1;3,4
1986;11;1;25,9
1986;12;1;0
1987;1;1;0
1987;2;1;0,2
1987;3;1;0,1
1987;4;1;10,5
1987;5;1;46,4
1987;6;1;36,7
1987;7;1;354,9
1987;8;1;182,3
1987;9;1;16,2
1987;10;1;64,8
1987;11;1;0
1987;12;1;0
1988;1;1;0
1988;2;1;0
1988;3;1;6
1988;4;1;0
1988;5;1;5
1988;6;1;12
1988;7;1;33,1
1988;8;1;52,7
1988;9;1;10,2
1988;10;1;0
1988;11;1;16,6
1988;12;1;4
1989;1;1;0
1989;2;1;0
1989;3;1;0
1989;4;1;38,2
1989;5;1;25
1989;6;1;17,7
1989;7;1;95,1
1989;8;1;108,7
1989;9;1;15,5
1989;10;1;1,9
1989;11;1;0,4
1989;12;1;0
1990;1;1;0
1990;2;1;0
1990;3;1;11,9
1990;4;1;1,1
1990;5;1;6,4
1990;6;1;1,6
1990;7;1;75,1
1990;8;1;70,3
1990;9;1;23,4
1990;10;1;15,7
1990;11;1;0
1990;12;1;0,3
1991;1;1;0
1991;2;1;0
1991;3;1;0
1991;4;1;1,9
1991;5;1;72,2
1991;6;1;112,6
1991;7;1;94,7
1991;8;1;3,2
1991;9;1;52,5
1991;10;1;13,7
1991;11;1;0
1991;12;1;28,8
1992;1;1;0
1992;2;1;0,5
1992;3;1;13,2
1992;4;1;41
1992;5;1;129,5
1992;6;1;170,3
1992;7;1;23,3
1992;8;1;57,7
1992;9;1;20,7
1992;10;1;0
1992;11;1;7,8
1992;12;1;0
1993;1;1;0
1993;2;1;0
1993;3;1;0
1993;4;1;101,7
1993;5;1;80,2
1993;6;1;34,7
1993;7;1;52,2
1993;8;1;30,7
1993;9;1;7,1
1993;10;1;7,6
1993;11;1;2,3
1993;12;1;0,2
1994;1;1;0
1994;2;1;0
1994;3;1;0
1994;4;1;19,3
1994;5;1;44,5
1994;6;1;44,5
1994;7;1;82,7
1994;8;1;16,5
1994;9;1;17,6
1994;10;1;3,5
1994;11;1;0
1994;12;1;7,4
1995;1;1;0,6
1995;2;1;0
1995;3;1;0
1995;4;1;18,7
1995;5;1;8,6
1995;6;1;47,2
1995;7;1;54,8
1995;8;1;22,3
1995;9;1;19,6
1995;10;1;0,6
1995;11;1;0,1
1995;12;1;0
1996;1;1;1,8
1996;2;1;0
1996;3;1;0
1996;4;1;54
1996;5;1;14,7
1996;6;1;31,7
1996;7;1;25,2
1996;8;1;29,8
1996;9;1;2,2
1996;10;1;3,7
1996;11;1;0
1996;12;1;0,9
1997;1;1;0
1997;2;1;0
1997;3;1;13,5
1997;4;1;0,5
1997;5;1;126,1
1997;6;1;259
1997;7;1;60,2
1997;8;1;98,9
1997;9;1;85,5
1997;10;1;60,1
1997;11;1;3,6
1997;12;1;1,9
1998;1;1;0
1998;2;1;4,3
1998;3;1;0
1998;4;1;32,7
1998;5;1;13,8
1998;6;1;22,6
1998;7;1;0,2
1998;8;1;0,6
1998;9;1;15,1
1998;10;1;0
1998;11;1;0
1998;12;1;0
1999;1;1;0
1999;2;1;0,1
1999;3;1;19,7
1999;4;1;12,9
1999;5;1;0,9
1999;6;1;31,2
1999;7;1;43,4
1999;8;1;109,9
1999;9;1;100,1
1999;10;1;23,6
1999;11;1;0
1999;12;1;1,4
2000;1;1;0
2000;2;1;14,7
2000;3;1;0
2000;4;1;17,6
2000;5;1;20
2000;6;1;261,5
2000;7;1;28,5
2000;8;1;0,5
2000;9;1;116,5
2000;10;1;13,6
2000;11;1;1
2000;12;1;0
2001;1;1;0
2001;2;1;0
2001;3;1;9,9
2001;4;1;16,1
2001;5;1;32,3
2001;6;1;0,3
2001;7;1;186,6
2001;8;1;50,2
2001;9;1;15,8
2001;10;1;0,7
2001;11;1;0
2001;12;1;0
2002;1;1;0
2002;2;1;0
2002;3;1;1,7
2002;4;1;13,6
2002;5;1;137,9
2002;6;1;247,5
2002;7;1;92,3
2002;8;1;74,2
2002;9;1;28,3
2002;10;1;4
2002;11;1;0
2002;12;1;1,3
2003;1;1;5
2003;2;1;0
2003;3;1;0,2
2003;4;1;0
2003;5;1;79,7
2003;6;1;31,5
2003;7;1;73,4
2003;8;1;6,9
2003;9;1;14,5
2003;10;1;0
2003;11;1;13,7
2003;12;1;0
2004;1;1;0
2004;2;1;0
2004;3;1;18,7
2004;4;1;39,2
2004;5;1;16,4
2004;6;1;44,1
2004;7;1;95,2
2004;8;1;55,9
2004;9;1;23,7
2004;10;1;1,7
2004;11;1;58,9
2004;12;1;0
2005;1;1;0
2005;2;1;0
2005;3;1;22,3
2005;4;1;5,7
2005;5;1;54,4
2005;6;1;146
2005;7;1;27,8
2005;8;1;137,3
2005;9;1;16,6
2005;10;1;15,4
2005;11;1;9,4
2005;12;1;0
2006;1;1;0
2006;2;1;0
2006;3;1;0
2006;4;1;1,5
2006;5;1;7,3
2006;6;1;79,8
2006;7;1;130
2006;8;1;50,3
2006;9;1;1,1
2006;10;1;64,5
2006;11;1;1,1
2006;12;1;0
2007;1;1;0
2007;2;1;14
2007;3;1;1,6
2007;4;1;0
2007;5;1;16,3
2007;6;1;69,9
2007;7;1;35,4
2007;8;1;29,6
2007;9;1;1
2007;10;1;0
2007;11;1;0,6
2007;12;1;0
2008;1;1;0
2008;2;1;0
2008;3;1;12,6
2008;4;1;7,5
2008;5;1;109,9
2008;6;1;51
2008;7;1;34,7
2008;8;1;130,8
2008;9;1;4,3
2008;10;1;0
2008;11;1;0
2008;12;1;0
2009;1;1;0
2009;2;1;1
2009;3;1;0
2009;4;1;0
2009;5;1;7
2009;6;1;103,1
2009;7;1;14,3
2009;8;1;97,5
2009;9;1;47,4
2009;10;1;6,5
2009;11;1;0
2009;12;1;0
2010;1;1;0
2010;2;1;0
2010;3;1;0
2010;4;1;0,3
2010;5;1;65,8
2010;6;1;75,6
2010;7;1;26,6
2010;8;1;6,9
2010;9;1;37,5
2010;10;1;13,6
2010;11;1;36,8
2010;12;1;0
2011;1;1;0
2011;2;1;3,1
2011;3;1;0,2
2011;4;1;13
2011;5;1;0
2011;6;1;56
2011;7;1;43,2
2011;8;1;27,6
2011;9;1;1,9
2011;10;1;2,5
2011;11;1;0
2011;12;1;0
2012;1;1;0
2012;2;1;0
2012;3;1;0
2012;4;1;9,6
2012;5;1;33,9
2012;6;1;69,8
2012;7;1;2
2012;8;1;35,8
2012;9;1;1,9
2012;10;1;41,3
2012;11;1;0
2012;12;1;21,5
2013;1;1;0
2013;2;1;0
2013;3;1;0
2013;4;1;0
2013;5;1;96
2013;6;1;34,6
2013;7;1;3,7
2013;8;1;24,4
2013;9;1;6,4
2013;10;1;0
2013;11;1;0
2013;12;1;0
2014;1;1;0
2014;2;1;0
2014;3;1;0
2014;4;1;0
2014;5;1;8,9
2014;6;1;75,2
2014;7;1;34,6
2014;8;1;46,5
2014;9;1;31,1
2014;10;1;0,1
2014;11;1;5,8
2014;12;1;1,2
2015;1;1;0
2015;2;1;2,5
2015;3;1;7,4
2015;4;1;0
2015;5;1;2
2015;6;1;0
2015;7;1;38,3
2015;8;1;111,4
2015;9;1;23,7
2015;10;1;27,7
2015;11;1;4,5
2015;12;1;0
2016;1;1;10,2
2016;2;1;0
2016;3;1;0
2016;4;1;109,2
2016;5;1;20,5
2016;6;1;38,4
2016;7;1;50,2
2016;8;1;0
2016;9;1;0,4
2016;10;1;16,2
2016;11;1;0
2016;12;1;23,6
2017;1;1;0
2017;2;1;0
2017;3;1;0
2017;4;1;5,6
2017;5;1;55,6
2017;6;1;73,2
2017;7;1;30,7
2017;8;1;50,4
2017;9;1;27,3
2017;10;1;35,5
2017;11;1;0,1
2017;12;1;0
2018;1;1;0
2018;2;1;0
2018;3;1;1,7
2018;4;1;0
2018;5;1;13
2018;6;1;45,8
2018;7;1;49,6
2018;8;1;10,5
2018;9;1;27,5
2018;10;1;1,8
2018;11;1;0,4
2018;12;1;1,1
2019;1;1;0
2019;2;1;0
2019;3;1;1,4
2019;4;1;0,2
2019;5;1;5,8
2019;6;1;45,9
2019;7;1;13,3
2019;8;1;0
2019;9;1;11,7
2019;10;1;3,7
2019;11;1;0
2019;12;1;0
2020;1;1;0
2020;2;1;0
2020;3;1;0
2020;4;1;2,5
2020;5;1;3,6
2020;6;1;110,1
2020;7;1;64,6
2020;8;1;6,9
2020;9;1;0
2020;10;1;0
2020;11;1;0
2020;12;1;0
2021;1;1;40
2021;2;1;0
2021;3;1;0
2021;4;1;0
2021;5;1;15,2
2021;6;1;22,3
