agno;mes;dia;valor
2001;1;1;33,9
2001;2;1;33
2001;3;1;31,7
2001;4;1;29,9
2001;5;1;28,1
2001;6;1;23,4
2001;7;1;24,6
2001;8;1;27,1
2001;9;1;25,7
2001;10;1;27,6
2001;11;1;31,6
2001;12;1;34,4
2002;1;1;32,9
2002;2;1;33,5
2002;3;1;32,2
2002;4;1;27,9
2002;5;1;31,1
2002;6;1;22,4
2002;7;1;24
2002;8;1;23,4
2002;9;1;24,6
2002;10;1;28,4
2002;11;1;32,3
2002;12;1;32,8
2003;1;1;36,3
2003;2;1;33,9
2003;3;1;32,6
2003;4;1;32
2003;5;1;29,2
2003;6;1;22,8
2003;7;1;24
2003;8;1;26,5
2003;9;1;26,9
2003;10;1;32,2
2003;11;1;31
2003;12;1;33,3
2004;1;1;32,1
2004;2;1;33,5
2004;3;1;34,7
2004;4;1;28,5
2004;5;1;27,1
2004;6;1;23,1
2004;7;1;23,4
2004;8;1;26,9
2004;9;1;28,4
2004;10;1;28,6
2004;11;1;30,6
2004;12;1;32,1
2005;1;1;34
2005;2;1;35,7
2005;3;1;33,1
2005;4;1;30,1
2005;5;1;23,4
2005;6;1;21,7
2005;7;1;23,8
2005;8;1;24,7
2005;9;1;23,9
2005;10;1;31,5
2005;11;1;30
2005;12;1;33,2
2006;1;1;35,8
2006;2;1;32,2
2006;3;1;30,8
2006;4;1;28,8
2006;5;1;26,5
2006;6;1;22,8
2006;7;1;24,8
2006;8;1;27,1
2006;9;1;29,7
2006;10;1;28,8
2006;11;1;32,7
2006;12;1;34,3
2007;1;1;34,4
2007;2;1;33,1
2007;3;1;33,4
2007;4;1;30,3
2007;5;1;24,6
2007;6;1;25,6
2007;7;1;21
2007;8;1;24
2007;9;1;26,1
2007;10;1;31
2007;11;1;34
2007;12;1;33,6
2008;1;1;34,3
2008;2;1;33,3
2008;3;1;31,1
2008;4;1;30,6
2008;5;1;26
2008;6;1;22
2008;7;1;20,8
2008;8;1;24,6
2008;9;1;29,2
2008;10;1;28,6
2008;11;1;32,8
2008;12;1;34,4
2009;1;1;34,7
2009;2;1;34,8
2009;3;1;34,7
2009;4;1;30,8
2009;5;1;26,7
2009;6;1;25,7
2009;7;1;21,8
2009;8;1;26,6
2009;9;1;25
2009;10;1;33,3
2009;11;1;30,6
2009;12;1;34,5
2010;1;1;35,9
2010;2;1;33,8
2010;3;1;34,4
2010;4;1;31,2
2010;5;1;29,1
2010;6;1;21,9
2010;7;1;19,9
2010;8;1;24,5
2010;9;1;27,1
2010;10;1;30,8
2010;11;1;33,8
2010;12;1;33,1
2011;1;1;33,8
2011;2;1;34,8
2011;3;1;32,9
2011;4;1;32
2011;5;1;27,3
2011;6;1;23,2
2011;7;1;24,8
2011;8;1;28,5
2011;9;1;30,5
2011;10;1;30,6
2011;11;1;33,5
2011;12;1;33,5
2012;1;1;33,8
2012;2;1;34,2
2012;3;1;35,7
2012;4;1;30,8
2012;5;1;27,6
2012;6;1;22,8
2012;7;1;25,7
2012;8;1;24,2
2012;9;1;29,6
2012;10;1;28,1
2012;11;1;32
2012;12;1;32,2
2013;1;1;36
2013;2;1;35,2
2013;3;1;33,3
2013;4;1;31,7
2013;5;1;26,9
2013;6;1;23,4
2013;7;1;24,3
2013;8;1;28,9
2013;9;1;28
2013;10;1;31,1
2013;11;1;33,5
2013;12;1;34
2014;1;1;35,1
2014;2;1;33
2014;3;1;34,5
2014;4;1;30,4
2014;5;1;27,6
2014;6;1;24
2014;7;1;22,9
2014;8;1;29,5
2014;9;1;27,9
2014;10;1;32
2014;11;1;31,6
2014;12;1;34,2
2015;1;1;35,2
2015;2;1;35,7
2015;3;1;36,8
2015;4;1;32,3
2015;5;1;30,6
2015;6;1;24,7
2015;7;1;22,8
2015;8;1;26
2015;9;1;27,1
2015;10;1;25,8
2015;11;1;31,7
2015;12;1;34,8
2016;1;1;35
2016;2;1;34,9
2016;3;1;34,7
2016;4;1;26,2
2016;5;1;25,7
2016;6;1;23,1
2016;7;1;22,1
2016;8;1;25,8
2016;9;1;31,5
2016;10;1;31,9
2016;11;1;34,6
2016;12;1;37
2017;1;1;37,7
2017;2;1;34,8
2017;3;1;34,6
2017;4;1;31,5
2017;5;1;26,4
2017;6;1;21
2017;7;1;24,1
2017;8;1;25
2017;9;1;30,3
2017;10;1;28,8
2017;11;1;33,1
2017;12;1;35,4
2018;1;1;35,5
2018;2;1;35,5
2018;3;1;33
2018;4;1;28,5
2018;5;1;26,4
2018;6;1;26
2018;7;1;22,7
2018;8;1;27,3
2018;9;1;30,3
2018;10;1;28,8
2018;11;1;34,4
2018;12;1;33,3
2019;1;1;39,3
2019;2;1;37,2
2019;3;1;32,2
2019;4;1;33
2019;5;1;28,1
2019;6;1;23
2019;7;1;24,5
2019;8;1;29,1
