agno;mes;dia;valor
2017;11;1;13,6
2017;12;1;14,9
2018;1;1;16
2018;2;1;16
2018;3;1;13,9
2018;4;1;11,9
2018;5;1;10,7
2018;6;1;8,7
2018;7;1;8,8
2018;8;1;9,5
2018;9;1;11,1
2018;10;1;11,9
2018;11;1;14,3
2018;12;1;15,4
2019;1;1;15,4
2019;2;1;16,1
2019;3;1;13,7
2019;4;1;12,4
2019;5;1;10,9
2019;8;1;10,5
2019;9;1;10,3
2020;4;1;12,7
2020;5;1;11,7
2020;6;1;9,9
2020;7;1;10
2020;8;1;9
2020;9;1;10,5
2020;10;1;10,9
2020;11;1;13
2020;12;1;14,1
2021;1;1;15,3
2021;2;1;15,3
2021;3;1;14,7
2021;4;1;12,6
2021;5;1;11,3
2021;6;1;10
